Date,Booster,LaunchSite,PayloadMass,Orbit,LandingOutcome
195,"January 3, 202314:56[17]",F9 B5B1060‑15,"Cape Canaveral, SLC‑40",Transporter-6 (115 payload smallsat rideshare),Unknown[j]
196,"January 10, 202304:50[23]",F9 B5B1076‑2,"Cape Canaveral, SLC‑40",OneWeb 16 (40 satellites),"6,000 kg (13,000 lb)"
FH 5,"January 15, 202322:56[29]",Falcon Heavy B5B1070 (core),"Kennedy, LC‑39A",USSF-67 (CBAS-2 & LDPE-3A),"~3,750 kg (8,270 lb)"
197,"January 18, 202312:24[33]",F9 B5B1077‑2,"Cape Canaveral, SLC‑40",USA-343 (GPS-III SV06),"4,352 kg (9,595 lb)"
198,"January 19, 202315:43[39]",F9 B5B1075‑1,"Vandenberg, SLC‑4E",Starlink: Group 2-4 (51 satellites),"15,000 kg (33,000 lb)"
199,"January 26, 202309:32[40]",F9 B5B1067‑9,"Cape Canaveral, SLC‑40",Starlink: Group 5-2 (56 satellites),"~17,400 kg (38,400 lb)"
200,"January 31, 202316:15[42]",F9 B5B1071‑7,"Vandenberg, SLC‑4E",Starlink: Group 2-6 (49 satellites),"~15,200 kg (33,500 lb)"
201,"February 2, 202307:58[42]",F9 B5B1069‑5,"Kennedy, LC‑39A",Starlink: Group 5-3 (53 satellites),"16,500 kg (36,400 lb)"
202,"February 7, 202301:32[46]",F9 B5B1073‑6,"Cape Canaveral, SLC‑40",Amazonas Nexus,"4,146 kg (9,140 lb)"
203,"February 12, 202305:10[52]",F9 B5B1062‑12,"Cape Canaveral, SLC‑40",Starlink: Group 5-4 (55 satellites),"17,100 kg (37,700 lb)"
204,"February 17, 202319:12[52]",F9 B5B1063‑9,"Vandenberg, SLC‑4E",Starlink: Group 2-5 (51 satellites),"15,900 kg (35,100 lb)"
205,"February 18, 202303:59[57]",F9 B5B1077‑3,"Cape Canaveral, SLC‑40",Inmarsat-6 F2,"5,470 kg (12,060 lb)"
206,"February 27, 202323:13[63]",F9 B5B1076‑3,"Cape Canaveral, SLC‑40",Starlink: Group 6-1 (21 satellites),"~15,300 kg (33,700 lb)"
207,"March 2, 202305:34[69]",F9 B5B1078‑1,"Kennedy, LC‑39A",Crew-6 (Crew Dragon C206-4 Endeavour),"~13,000 kg (29,000 lb)"
208,"March 3, 202318:38[63]",F9 B5B1061‑12,"Vandenberg, SLC‑4E",Starlink: Group 2-7 (51 satellites),"15,900 kg (35,100 lb)"
209,"March 9, 202319:13[73]",F9 B5B1062‑13,"Cape Canaveral, SLC‑40",OneWeb 17 (40 satellites),"6,000 kg (13,000 lb)"
210,"March 15, 202300:30[74]",F9 B5B1073‑7,"Kennedy, LC‑39A",SpaceX CRS-27 (Dragon C209-3),"2,852 kg (6,288 lb)"
211,"March 17, 202319:26[79]",F9 B5B1071‑8,"Vandenberg, SLC‑4E",Starlink: Group 2-8 (52 satellites),"~16,200 kg (35,700 lb)"
212,"March 17, 202323:38[79]",F9 B5B1069‑6,"Cape Canaveral, SLC‑40",SES-18 & SES-19,"~7,000 kg (15,000 lb)"
213,"March 24, 202315:43[82]",F9 B5B1067‑10,"Cape Canaveral, SLC‑40",Starlink: Group 5-5 (56 satellites),"~17,400 kg (38,400 lb)"
214,"March 29, 202320:01[84]",F9 B5B1077‑4,"Cape Canaveral, SLC‑40",Starlink: Group 5-10 (56 satellites),"~17,400 kg (38,400 lb)"
215,"April 2, 202314:29[85]",F9 B5B1075‑2,"Vandenberg, SLC‑4E",SDA Tranche 0A (10 satellites),Unknown
216,"April 7, 202304:30[87]",F9 B5B1076‑4,"Cape Canaveral, SLC‑40",Intelsat 40e,"~5,588 kg (12,319 lb)"
217,"April 15, 202306:47[90]",F9 B5B1063‑10,"Vandenberg, SLC‑4E",Transporter-7 (51 payload smallsat rideshare),Unknown
218,"April 19, 202314:31[93]",F9 B5B1073‑8,"Cape Canaveral, SLC‑40",Starlink: Group 6-2 (21 satellites),"~15,300 kg (33,700 lb)"
219,"April 27, 202313:40[94]",F9 B5B1061‑13,"Vandenberg, SLC‑4E",Starlink: Group 3-5 (46 satellites),"~14,100 kg (31,100 lb)"
220,"April 28, 202322:12[95]",F9 B5B1078‑2,"Cape Canaveral, SLC‑40",O3b mPOWER 3 & 4,"~4,100 kg (9,000 lb)"
FH 6,"May 1, 202300:26[99]",Falcon Heavy B5B1068 (core),"Kennedy, LC‑39A",ViaSat-3 Americas[100][101],"6,400 kg (14,100 lb)"
221,"May 4, 202307:31[105]",F9 B5B1069‑7,"Cape Canaveral, SLC‑40",Starlink: Group 5-6 (56 satellites),"~17,400 kg (38,400 lb)"
222,"May 10, 202320:09[107]",F9 B5B1075‑3[108],"Vandenberg, SLC‑4E",Starlink: Group 2-9 (51 satellites),"15,900 kg (35,100 lb)"
223,"May 14, 202305:03[109]",F9 B5B1067‑11,"Cape Canaveral, SLC‑40",Starlink: Group 5-9 (56 satellites),"~17,400 kg (38,400 lb)"
224,"May 19, 202306:19[110]",F9 B5B1076‑5,"Cape Canaveral, SLC‑40",Starlink: Group 6-3 (22 satellites),"~16,100 kg (35,500 lb)"
225,"May 20, 202313:16[110]",F9 B5B1063‑11,"Vandenberg, SLC‑4E",Iridium-NEXT[111] (5 satellites)OneWeb (15 Gen1 plus a Gen2 test satellite)[112],"~6,600 kg (14,600 lb)"
226,"May 21, 202321:37[113]",F9 B5B1080‑1,"Kennedy, LC‑39A",Ax-2 (Crew Dragon C212-2 Freedom),"~13,000 kg (29,000 lb)"
227,"May 27, 202304:30[119]",F9 B5B1062‑14,"Cape Canaveral, SLC‑40",ArabSat 7B (Badr-8)[120],"~4,500 kg (9,900 lb)"
228,"May 31, 202306:02[122]",F9 B5B1061‑14,"Vandenberg, SLC‑4E",Starlink: Group 2-10 (52 satellites),"~16,400 kg (36,200 lb)"
229,"June 4, 202312:20[122]",F9 B5B1078‑3,"Cape Canaveral, SLC‑40",Starlink: Group 6-4 (22 satellites),"~16,100 kg (35,500 lb)"
230,"June 5, 202315:47[123]",F9 B5B1077‑5,"Kennedy, LC‑39A",SpaceX CRS-28 (Dragon C208-4),"~3,304 kg (7,284 lb)"
231,"June 12, 202307:10[124]",F9 B5B1073‑9,"Cape Canaveral, SLC‑40",Starlink: Group 5-11 (52 satellites),"~16,400 kg (36,200 lb)"
232,"June 12, 202321:35[125]",F9 B5B1071‑9,"Vandenberg, SLC‑4E",Transporter-8 (72 payload smallsat rideshare),Unknown[j]
233,"June 18, 202322:21[126]",F9 B5B1067‑12[127],"Cape Canaveral, SLC‑40",SATRIA[128],"~4,580 kg (10,100 lb)"
234,"June 22, 202307:19[126]",F9 B5B1075‑4[129],"Vandenberg, SLC‑4E",Starlink: Group 5-7 (47 satellites),"~14,500 kg (32,000 lb)"
235,"June 23, 202315:35[131]",F9 B5B1069‑8,"Cape Canaveral, SLC‑40",Starlink: Group 5-12 (56 satellites),"~17,400 kg (38,400 lb)"
236,"July 1, 202315:12[132]",F9 B5B1080‑2,"Cape Canaveral, SLC‑40",Euclid,"~2,160 kg (4,760 lb)"
237,"July 7, 202319:29[134]",F9 B5B1063‑12[135],"Vandenberg, SLC‑4E",Starlink: Group 5-13 (48 satellites),"~14,900 kg (32,800 lb)"
238,"July 10, 202303:58[134]",F9 B5B1058‑16,"Cape Canaveral, SLC‑40",Starlink: Group 6-5 (22 satellites),"~16,100 kg (35,500 lb)"
239,"July 16, 202303:50[136]",F9 B5B1060‑16[137],"Cape Canaveral, SLC‑40",Starlink: Group 5-15 (54 satellites),"~16,700 kg (36,800 lb)"
240,"July 20, 202304:09[138]",F9 B5B1071‑10,"Vandenberg, SLC‑4E",Starlink: Group 6-15 (15 satellites),"~12,000 kg (26,000 lb)"
241,"July 24, 202300:50[138]",F9 B5B1076‑6,"Cape Canaveral, SLC‑40",Starlink: Group 6-6 (22 satellites),"~16,100 kg (35,500 lb)"
242,"July 28, 202304:01[139]",F9 B5B1062‑15,"Cape Canaveral, SLC‑40",Starlink: Group 6-7 (22 satellites),"~16,100 kg (35,500 lb)"
